id,ok,fps,stride,step_err,width,height,frames,duration_s,codec,gps,gps_samples,min_accel,mean_speed,calm,error
training_10,True,59.94,16,0.0010010010010010895,1280,720,600,10.01001001001001,h264,ok,10,-4.58,5.249999999999999,False,
training_1000,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,no_1hz_pairs,2,,,False,
training_1004,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-4.21,4.64,False,
training_1005,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-4.4,3.757,False,
training_1006,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-3.5999999999999996,8.227,False,
training_1009,True,30.0,8,0.0,1280,720,300,10.0,h264,ok,10,-1.7800000000000002,4.4990000000000006,True,
training_1016,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-2.5,3.8019999999999996,True,
training_1018,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-5.127421278118083,4.131,False,
training_102,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-2.5300000000000002,4.1049999999999995,True,
training_1020,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-3.1900000000000004,3.3620000000000005,False,
training_1021,True,29.97,8,0.0010010010010010895,1280,720,360,12.012012012012011,h264,ok,12,-3.04,7.411666666666665,False,
training_1022,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-2.17,5.218,True,
training_1023,True,59.94,16,0.0010010010010010895,1280,720,600,10.01001001001001,h264,ok,10,-1.6,4.178,True,
training_1024,True,30.0,8,0.0,1280,720,300,10.0,h264,ok,11,-1.53,3.9145454545454546,True,
training_1025,True,29.97,8,0.0010010010010010895,1280,720,360,12.012012012012011,h264,ok,12,-2.3099999999999996,6.925833333333333,True,
training_1027,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-2.98,2.1599999999999997,True,
training_1028,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-3.9299999999999997,9.607000000000001,False,
training_1029,True,59.94,16,0.0010010010010010895,1280,720,600,10.01001001001001,h264,ok,10,-5.154845528091236,4.589,False,
training_1032,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-3.3099999999999996,6.855000000000001,False,
training_1036,True,29.97,8,0.0010010010010010895,1280,720,390,13.013013013013014,h264,ok,13,-4.660000000000001,7.71076923076923,False,
training_1039,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-2.8942113068929856,7.534999999999999,True,
training_1040,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,no_1hz_pairs,4,,,False,
training_1044,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-3.1000000000000005,8.293999999999999,False,
training_1046,True,30.0,8,0.0,1280,720,300,10.0,h264,ok,10,-0.8600000000000003,4.8950000000000005,True,
training_105,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-0.6900000000000004,3.3199999999999994,True,
training_1050,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-2.9699999999999998,4.949,True,
