id,part,ok,fps,width,height,frames,duration_s,codec,error
003eff06ff100bc400cc64c54e1b9eb3,0004,True,25.0,1920,1080,747,29.88,h264,
005539f4a1934d69b4f9a18e941cb73b,0003,True,25.0,1920,1080,732,29.28,h264,
01c57941b8139eaa0b545f627a91e2d4,0002,True,25.0,1920,1080,731,29.24,h264,
01c94b742974d54d578f52e56301b2b1,0006,True,25.0,1280,720,747,29.88,h264,
01f195218e31ade886d8a79e8346d71d,0001,True,25.0,1280,720,743,29.72,h264,
02a1710451ebd60272ee8f09bb6c603c,0004,True,25.0,1280,720,734,29.36,h264,
037590bf7003aa7e0bc088980f746ba3,0007,True,25.0,1280,720,751,30.04,h264,
038ab347b6e7fae172a52d61c8e3c4e4,0005,True,25.0,1920,1080,729,29.16,h264,
049621bdde1c0c89234d8d868767e232,0001,True,25.0,1920,1080,750,30.0,h264,
049a820fb849e4de0065edada18072a2,0002,True,25.0,1920,1080,741,29.64,h264,
04c5b18b9e4740b0bb0ac72f7ebf5673,0004,True,25.0,1280,720,733,29.32,h264,
05596919cde82cb14021539d6ba35a69,0004,True,25.0,1280,720,749,29.96,h264,
05f0b8746d3d393c037508aa51f83715,0004,True,25.0,1920,1080,748,29.92,h264,
0635b44629f0cbf46796177a0954436e,0004,True,25.0,1920,1080,731,29.24,h264,
06780b6c8d835fbb217221c81b895a08,0004,True,25.0,1280,720,751,30.04,h264,
07014fcfaf595a588e6ca89383e9affa,0005,True,25.0,1920,1080,734,29.36,h264,
072378d081a470a2e9d728906ff578cd,0001,True,25.0,1920,1080,745,29.8,h264,
07c8fffbcc9a2ddc7c1f66f3aa195b73,0005,True,25.0,1920,1080,732,29.28,h264,
07ce28d7676174b56bc504e76ab047a2,0005,True,25.0,1920,1080,736,29.44,h264,
086e3f92af38834b11370fc004e56ef5,0001,True,25.0,1920,1080,751,30.04,h264,
093a05bc4f39becd94d2ada85314ac2a,0002,True,25.0,1920,1080,748,29.92,h264,
0957bc7e3d5851337ba15755f0cbb755,0003,True,25.0,1920,1080,733,29.32,h264,
097f737a8340f22d4d88c210df91a1f5,0005,True,25.0,1920,1080,728,29.12,h264,
09e2bc8c9ec17bf8c6b3125a144b23fb,0005,True,25.0,1920,1080,738,29.52,h264,
09f8259a7a1820d0cb1b99293afea7ea,0003,True,25.0,1920,1080,739,29.56,h264,
0a1bf5f55e2447c9c2ef547a0bbe0abe,0006,True,25.0,1920,1080,729,29.16,h264,
0ab10d6d8d8095c5c2c0c072d7f80945,0004,True,25.0,1920,1080,733,29.32,h264,
0ac258d9e8063e85e244b55bacaf82f6,0005,True,25.0,1920,1080,732,29.28,h264,
0b073587cda9ff6bee02bd1b2804da3b,0004,True,25.0,1920,1080,739,29.56,h264,
0b1bb9494268abd1c66685d84c16eaf4,0004,True,25.0,1280,720,738,29.52,h264,
0b37ad02fe8b7147857325f6ed5eb285,0001,True,25.0,1920,1080,745,29.8,h264,
0bd10b55c6fc5163d26355fa87165009,0006,True,25.0,1920,1080,735,29.4,h264,
0c1f629863b6cd36b07fd6c9ac49c3c7,0001,True,25.0,1920,1080,732,29.28,h264,
0cb552c11bef65bf7cd2c07005259788,0001,True,25.0,1920,1080,747,29.88,h264,
0d71734e9866cf2cf0b886674b152c74,0007,True,25.0,1280,720,729,29.16,h264,
